Tf,Tg,Tf_age,Tg_age
YOL089C,YHR218W,Saccharomyceta,Saccharomycetaceae
YOL089C,YJL008C,Saccharomyceta,> Eukaryota
YOL089C,YJL198W,Saccharomyceta,Opisthokonta
YOL089C,YJL200C,Saccharomyceta,Eukaryota
YOL089C,YJR011C,Saccharomyceta,Fungi
YOL089C,YJR013W,Saccharomyceta,Fungi
YOL089C,YKL062W,Saccharomyceta,Saccharomyceta
YOL089C,YKL063C,Saccharomyceta,Fungi
YOL089C,YLR050C,Saccharomyceta,Ascomycota
YOL089C,YLR154C,Saccharomyceta,Saccharomyces
YOL089C,YLR460C,Saccharomyceta,Ascomycota
YOL089C,YLR461W,Saccharomyceta,Saccharomycetaceae
YOL089C,YMR019W,Saccharomyceta,Saccharomyces
YOL089C,YMR118C,Saccharomyceta,Eukaryota
YOL089C,YMR258C,Saccharomyceta,Fungi
YOL089C,YNL038W,Saccharomyceta,Saccharomyceta
YOL089C,YNL050C,Saccharomyceta,Fungi
YOL089C,YNL134C,Saccharomyceta,Ascomycota
YOL089C,YNL336W,Saccharomyceta,Saccharomyces
YOL089C,YNL337W,Saccharomyceta,Saccharomyces
YOL089C,YNL339C,Saccharomyceta,Saccharomycetaceae
YOL089C,YOL084W,Saccharomyceta,Fungi
YOL089C,YOL085C,Saccharomyceta,Saccharomyces
YOL089C,YOL086C,Saccharomyceta,Dikarya
YOL089C,YOL159C,Saccharomyceta,Saccharomyces
YOL089C,YOR001W,Saccharomyceta,Eukaryota
YOL089C,YPR072W,Saccharomyceta,Ascomycota
YOL089C,YPR198W,Saccharomyceta,Saccharomyces
YOL108C,YAL053W,Ascomycota,Dikarya
YOL108C,YAL054C,Ascomycota,Fungi
YOL108C,YBL106C,Ascomycota,Fungi
YOL108C,YBR029C,Ascomycota,Ascomycota
YOL108C,YBR030W,Ascomycota,Ascomycota
YOL108C,YBR093C,Ascomycota,Saccharomyces
YOL108C,YDR050C,Ascomycota,Saccharomyceta
YOL108C,YDR129C,Ascomycota,Saccharomyceta
YOL108C,YDR146C,Ascomycota,Fungi
YOL108C,YDR147W,Ascomycota,Fungi
YOL108C,YDR278C,Ascomycota,Saccharomyces
YOL108C,YDR279W,Ascomycota,Saccharomyceta
YOL108C,YDR345C,Ascomycota,Saccharomyceta
YOL108C,YDR497C,Ascomycota,Dikarya
YOL108C,YEL040W,Ascomycota,Ascomycota
YOL108C,YER026C,Ascomycota,Opisthokonta
YOL108C,YER033C,Ascomycota,Saccharomyces
YOL108C,YER034W,Ascomycota,Saccharomyces
YOL108C,YER043C,Ascomycota,Fungi
YOL108C,YGL077C,Ascomycota,> Eukaryota
YOL108C,YGL116W,Ascomycota,Fungi
YOL108C,YGR157W,Ascomycota,Eukaryota
YOL108C,YGR238C,Ascomycota,Fungi
YOL108C,YHR123W,Ascomycota,Dikarya
YOL108C,YJL048C,Ascomycota,Saccharomyces
YOL108C,YJL153C,Ascomycota,Saccharomyceta
YOL108C,YJL167W,Ascomycota,Ascomycota
YOL108C,YJL168C,Ascomycota,Ascomycota
YOL108C,YJR073C,Ascomycota,> Eukaryota
YOL108C,YJR104C,Ascomycota,Saccharomyces
YOL108C,YJR105W,Ascomycota,Saccharomyces
YOL108C,YKL182W,Ascomycota,Saccharomycetaceae
YOL108C,YLR133W,Ascomycota,Fungi
YOL108C,YLR153C,Ascomycota,Fungi
YOL108C,YMR084W,Ascomycota,Saccharomyces
YOL108C,YNL044W,Ascomycota,Saccharomyceta
YOL108C,YNL169C,Ascomycota,Saccharomyceta
YOL108C,YNL171C,Ascomycota,Saccharomyces
YOL108C,YNL175C,Ascomycota,Saccharomycetaceae
YOL108C,YNR016C,Ascomycota,> Eukaryota
YOL108C,YNR017W,Ascomycota,> Eukaryota
YOL108C,YOR316CA,Ascomycota,
YOL108C,YOR317W,Ascomycota,Ascomycota
YOL108C,YPL231W,Ascomycota,Dikarya
YOL108C,YPR013C,Ascomycota,Saccharomycetaceae
YOL116W,STA1,Saccharomycetaceae,
YOL116W,STA2,Saccharomycetaceae,
YOL116W,STA3,Saccharomycetaceae,
YOL116W,YBL041W,Saccharomycetaceae,Ascomycota
YOL116W,YBL042C,Saccharomycetaceae,Ascomycota
YOL116W,YFL014W,Saccharomycetaceae,Eukaryota
YOL116W,YIR019C,Saccharomycetaceae,Saccharomycetaceae
YOL116W,YKL189W,Saccharomycetaceae,Eukaryota
YOL116W,YKR038C,Saccharomycetaceae,> Eukaryota
YOL116W,YNL028W,Saccharomycetaceae,Saccharomyces
YOL116W,YPR035W,Saccharomycetaceae,Eukaryota
YOR028C,YAL037CA,Saccharomycetaceae,
YOR028C,YAL037W,Saccharomycetaceae,Saccharomycetaceae
YOR028C,YAL063C,Saccharomycetaceae,Saccharomycetaceae
YOR028C,YBL029CA,Saccharomycetaceae,
YOR028C,YBL029W,Saccharomycetaceae,Ascomycota
YOR028C,YBL030C,Saccharomycetaceae,Ascomycota
YOR028C,YBL043W,Saccharomycetaceae,Saccharomyceta
YOR028C,YBR007C,Saccharomycetaceae,Saccharomyceta
YOR028C,YBR008C,Saccharomycetaceae,Saccharomyceta
YOR028C,YBR053C,Saccharomycetaceae,Saccharomyces
YOR028C,YBR054W,Saccharomycetaceae,Saccharomycetaceae
YOR028C,YBR070C,Saccharomycetaceae,Saccharomycetaceae
YOR028C,YBR071W,Saccharomycetaceae,Saccharomyces
YOR028C,YBR072W,Saccharomycetaceae,Saccharomycetaceae
YOR028C,YBR157C,Saccharomycetaceae,Saccharomyceta
YOR028C,YBR158W,Saccharomycetaceae,Saccharomyceta
YOR028C,YBR201W,Saccharomycetaceae,Saccharomyceta
YOR028C,YBR208C,Saccharomycetaceae,Saccharomyceta
YOR028C,YBR209W,Saccharomycetaceae,Saccharomyces
YOR028C,YBR295W,Saccharomycetaceae,Fungi
YOR028C,YCL024W,Saccharomycetaceae,Eukaryota
