,TF,Target,Mode,PMID,TF_age,Tg_age
291,ATF2,RELA,Activation,21350211,Opisthokonta,Eumetazoa
292,ATF2,RETN,Activation,20360975,Opisthokonta,Eumetazoa
293,ATF2,ST3GAL5,Activation,21699754,Opisthokonta,Eukaryota
294,ATF2,TGFB2,Repression,1400310,Opisthokonta,Eumetazoa
295,ATF2,TNF,Activation,10688670;10748079;10913190;20068037,Opisthokonta,Vertebrata
296,ATF3,ADIPOR1,Repression,20696134,Eumetazoa,Euk+Bac
297,ATF3,ADIPOR2,Repression,20696134,Eumetazoa,Euk+Bac
298,ATF3,AK4,Unknown,23002211,Eumetazoa,Cellular_organisms
299,ATF3,ASNS,Activation,12881527,Eumetazoa,Cellular_organisms
300,ATF3,ASNS,Unknown,15385533,Eumetazoa,Cellular_organisms
301,ATF3,CCL5,Unknown,10760799,Eumetazoa,Vertebrata
302,ATF3,CD82,Unknown,21454613,Eumetazoa,Eumetazoa
303,ATF3,DDIT3,Activation,22753726,Eumetazoa,Vertebrata
304,ATF3,GDF15,Activation,15670751,Eumetazoa,Vertebrata
305,ATF3,ID1,Repression,20565867,Eumetazoa,Eumetazoa
306,ATF3,IFNG,Activation,20304822,Eumetazoa,Vertebrata
307,ATF3,PCLAF,Unknown,19219066,Eumetazoa,Eumetazoa
308,ATF3,LDLR,Repression,21294679,Eumetazoa,Eumetazoa
309,ATF3,MMP2,Repression,11792711;15102941,Eumetazoa,Eumetazoa
310,ATF3,PENK,Unknown,7935470,Eumetazoa,Vertebrata
311,ATF3,SELE,Repression,10964678,Eumetazoa,Opisthokonta
312,ATF3,TP53,Unknown,22991139,Eumetazoa,Opisthokonta
313,ATF4,APOE,Activation,22028770,Eumetazoa,Vertebrata
314,ATF4,ASNS,Activation,11960987;16164412;17276738,Eumetazoa,Cellular_organisms
315,ATF4,ASNS,Unknown,15385533;23403946,Eumetazoa,Cellular_organisms
316,ATF4,ATF3,Activation,16246168;21801305,Eumetazoa,Eumetazoa
317,ATF4,ATF3,Unknown,22819556,Eumetazoa,Eumetazoa
318,ATF4,ATG5,Activation,20038797,Eumetazoa,Eukaryota
319,ATF4,BGLAP,Unknown,21866569,Eumetazoa,Vertebrata
320,ATF4,CA9,Unknown,19564335,Eumetazoa,Euk+Bac
321,ATF4,CCL2,Unknown,16931790,Eumetazoa,Mammalia
322,ATF4,CEBPB,Activation,16026328,Eumetazoa,Vertebrata
323,ATF4,CHAC1,Activation,21737788,Eumetazoa,Euk+Bac
324,ATF4,CXCL8,Unknown,16931790,Eumetazoa,Vertebrata
325,ATF4,DDIT3,Activation,16246168;17276738;20020050;21044953;21966512,Eumetazoa,Vertebrata
326,ATF4,DDIT3,Unknown,17455323;22691366,Eumetazoa,Vertebrata
327,ATF4,DDIT4,Activation,19059405;19439225,Eumetazoa,Eumetazoa
328,ATF4,DDR2,Activation,20564243,Eumetazoa,Eumetazoa
329,ATF4,DISC1,Unknown,12812986,Eumetazoa,Vertebrata
330,ATF4,F7,Unknown,22848420,Eumetazoa,Eukaryota
331,ATF4,FGF19,Activation,23205607,Eumetazoa,Vertebrata
332,ATF4,FGF21,Activation,22233381,Eumetazoa,Vertebrata
333,ATF4,HRK,Activation,23090478,Eumetazoa,Mammalia
334,ATF4,HSPA5,Repression,16205636,Eumetazoa,Cellular_organisms
335,ATF4,IGFBP1,Activation,16687408,Eumetazoa,Vertebrata
336,ATF4,IL6,Unknown,16931790,Eumetazoa,Vertebrata
337,ATF4,IRF7,Repression,21148039,Eumetazoa,Vertebrata
338,ATF4,MAP1LC3B,Activation,20038797;20514020,Eumetazoa,Mammalia
339,ATF4,MCL1,Unknown,22128141,Eumetazoa,Vertebrata
340,ATF4,NDC80,Activation,17822787,Eumetazoa,Eukaryota
341,ATF4,NUPR1,Activation,19946894,Eumetazoa,Eumetazoa
342,ATF4,PLAU,Activation,18829529,Eumetazoa,Eukaryota
343,ATF4,PTGS2,Unknown,21244365,Eumetazoa,Eukaryota
344,ATF4,S100P,Unknown,19073601,Eumetazoa,Mammalia
345,ATF4,SIGMAR1,Activation,22079628,Eumetazoa,Eukaryota
346,ATF4,SIRT1,Activation,22363646,Eumetazoa,Cellular_organisms
347,ATF4,SIRT1,Repression,21801305,Eumetazoa,Cellular_organisms
348,ATF4,SIRT2,Repression,21801305,Eumetazoa,Eukaryota
349,ATF4,TNFRSF10B,Unknown,21044953,Eumetazoa,Vertebrata
350,ATF4,TRIB3,Activation,15775988,Eumetazoa,Mammalia
351,ATF4,TRIB3,Unknown,20592469;21220698,Eumetazoa,Mammalia
352,ATF4,VEGFA,Activation,15788408;18829529,Eumetazoa,Vertebrata
353,ATF4,VEGFA,Unknown,18451308;22915762;23908598,Eumetazoa,Vertebrata
354,ATF5,BCL2,Activation,21212266,Eumetazoa,Opisthokonta
355,ATF5,CCND3,Activation,16300731,Eumetazoa,Eukaryota
356,ATF5,CREB1,Activation,17140605,Eumetazoa,Eumetazoa
357,ATF5,CYP2B6,Activation,18332083,Eumetazoa,Eukaryota
358,ATF5,DISC1,Unknown,12812986,Eumetazoa,Vertebrata
359,ATF5,EGR1,Unknown,19531563,Eumetazoa,Opisthokonta
360,ATF5,ID1,Repression,18701499,Eumetazoa,Eumetazoa
361,ATF5,SH2D1A,Unknown,18832568,Eumetazoa,Vertebrata
362,ATF6,ATP2A2,Unknown,11595740,Eumetazoa,Eukaryota
363,ATF6,BGLAP,Unknown,22102412,Eumetazoa,Vertebrata
364,ATF6,DDIT3,Unknown,17455323,Eumetazoa,Vertebrata
365,ATF6,DNAJC3,Activation,12601012,Eumetazoa,Eukaryota
366,ATF6,HSPA5,Unknown,12713871,Eumetazoa,Cellular_organisms
367,ATF6,MAFA,Repression,18450959,Eumetazoa,Eumetazoa
368,ATF6,NR0B2,Activation,18450959,Eumetazoa,Eumetazoa
369,ATF6,NUCB1,Activation,17686766,Eumetazoa,Opisthokonta
370,ATF6,PDX1,Repression,18450959,Eumetazoa,Eumetazoa
371,ATF6,RTN3,Activation,17191123,Eumetazoa,Mammalia
372,ATF6,SRF,Unknown,9271374,Eumetazoa,Eukaryota
373,ATF6,STARD4,Activation,16579971,Eumetazoa,Eukaryota
374,ATF6,WBP1,Activation,21841196,Eumetazoa,Eumetazoa
375,ATF6,XBP1,Unknown,20003459;24269637,Eumetazoa,Eumetazoa
376,ATF7,ERBB2,Unknown,10698518,Opisthokonta,Opisthokonta
377,ATF7,TAF12,Activation,15735663,Opisthokonta,Eukaryota
378,ATM,APLF,Unknown,18077224,Eukaryota,Eumetazoa
